car_num,ct_name,psevdoname,std_kap,std_ppr,std_dep,std_vogi
57458689,Газовые,15-78-5,2019-03-23,2017-03-21,2022-01-04,2017-03-21
57458713,Газовые,15-78-5,2019-03-23,2017-03-18,2021-12-23,2017-03-18
57458739,Газовые,15-78-5,2019-03-23,2017-03-20,2021-12-25,2017-03-20
57466385,Газовые,15-78-5,2019-03-23,2017-03-19,2021-11-23,2017-03-19
57463119,Газовые,15-78-5,2021-12-09,2019-05-10,2018-11-24,2019-08-19
57138265,Нефтебензиновые,16-1347,2019-02-08,NULL,2021-02-08,NULL
57463374,Газовые,15-78-5,2021-10-24,2019-07-02,2018-08-29,2019-08-19
57463242,Газовые,15-78-5,2021-11-09,2019-08-19,2019-07-21,2019-08-19
57463168,Газовые,15-78-5,2021-11-21,2019-08-20,2019-05-15,2019-08-20
57063810,Нефтебензиновые,16-1347,2023-02-25,NULL,2020-02-25,NULL
57063836,Нефтебензиновые,16-1347,2023-01-19,NULL,2020-01-19,NULL
57063851,Нефтебензиновые,16-1347,2017-10-20,NULL,2019-10-20,NULL
57063869,Нефтебензиновые,16-1347,2023-04-10,NULL,2019-04-10,NULL
57138240,Нефтебензиновые,16-1347,2023-02-23,NULL,2020-02-23,NULL
57138257,Нефтебензиновые,16-1347,2017-10-25,NULL,2019-10-25,NULL
57140485,Нефтебензиновые,16-1347,2019-01-01,NULL,2021-03-29,NULL
57140741,Нефтебензиновые,16-1347,2019-01-30,NULL,2021-01-30,NULL
57140915,Нефтебензиновые,16-1347,2017-10-16,NULL,2019-10-16,NULL
57140956,Нефтебензиновые,16-1347,2019-02-07,NULL,2021-02-07,NULL
57141020,Нефтебензиновые,16-1347,2019-02-24,NULL,2021-02-24,NULL
57459638,Газовые,15-78-5,2022-03-30,2019-03-20,2019-11-21,2020-03-06
57459711,Газовые,15-78-5,2022-04-11,2018-06-30,2018-08-25,2020-03-06
57459737,Газовые,15-78-5,2022-03-30,2018-09-24,2019-06-26,2020-03-06
57459687,Газовые,15-78-5,2022-04-11,2018-07-18,2019-08-01,2020-03-07
57456154,Газовые,15-78-5,2021-10-14,2019-06-29,2019-03-11,2019-08-20
57017048,Газовые,18-173-5,2018-10-29,2018-10-13,2020-11-18,2020-07-10
57016677,Газовые,18-173-5,2018-08-01,2019-02-28,2021-02-19,2020-07-10
57017014,Газовые,18-173-5,2018-10-06,2018-11-24,2018-09-23,2020-08-16
57016958,Газовые,18-173-5,2018-09-28,2018-08-10,2018-08-20,2020-08-16
57016867,Газовые,18-173-5,2018-10-04,2018-07-27,2018-08-03,2020-07-17
57016743,Газовые,18-173-5,2018-10-22,2018-10-10,2021-01-08,2020-07-04
59727719,Нефтебензиновые,11-170-8,NULL,NULL,2018-05-04,NULL
57730970,Газовые,13-54-6,2019-06-12,2018-04-01,2022-07-06,2018-04-01
57730988,Газовые,13-54-6,2019-02-28,2018-04-01,2022-08-04,2018-04-01
57731002,Газовые,13-54-6,2020-02-01,2020-04-24,2022-11-20,2026-04-24
57731010,Газовые,13-54-6,2019-11-06,2020-03-26,2022-11-10,2026-03-26
57731028,Газовые,13-54-6,2018-10-28,2020-04-25,2022-06-19,2026-04-25
57731036,Газовые,13-54-6,2020-04-09,2020-04-21,2022-10-06,2026-04-21
57731044,Газовые,13-54-6,2019-05-08,2020-04-19,2022-08-15,2026-04-19
57731051,Газовые,13-54-6,2018-12-24,2020-04-07,2022-08-08,2026-04-07
57731069,Газовые,13-54-6,2020-10-14,2018-04-02,2022-10-14,2018-04-02
57731077,Газовые,13-54-6,2020-04-10,2020-04-13,2022-10-11,2026-04-13
57731085,Газовые,13-54-6,2020-10-19,2018-04-03,2022-10-19,2018-04-03
57732232,Газовые,13-54-6,2020-03-30,2020-03-28,2019-11-06,2026-03-28
57732240,Газовые,13-54-6,2020-03-30,2018-04-03,2018-11-10,2018-04-03
57732257,Газовые,13-54-6,2020-04-07,2020-03-24,2022-10-11,2026-03-24
57732265,Газовые,13-54-6,2020-03-30,2018-04-03,2020-03-14,2018-04-03
57732273,Газовые,13-54-6,2020-03-30,2018-04-04,2019-01-17,2018-04-04
57732281,Газовые,13-54-6,2019-01-22,2020-03-07,2022-06-09,2026-03-07
57732307,Газовые,13-54-6,2020-03-22,2018-04-04,2022-12-21,2018-04-04
57732414,Газовые,13-54-6,2020-03-30,2018-04-04,2018-07-02,2018-04-04
57732430,Газовые,13-54-6,2020-03-30,2018-04-03,2019-10-15,2018-04-03
57732455,Газовые,13-54-6,2020-10-27,2018-04-03,2022-10-27,2018-04-03
57732505,Газовые,13-54-6,2019-11-29,2020-04-24,2022-04-18,2026-04-24
57732547,Газовые,13-54-6,2019-07-21,2020-03-21,2022-08-28,2026-03-21
57732554,Газовые,13-54-6,2020-03-30,2020-03-30,2018-12-15,2026-03-30
57732588,Газовые,13-54-6,2019-04-13,2020-03-10,2022-05-10,2026-03-10
57733404,Газовые,13-54-6,2019-10-04,2020-04-19,2022-10-09,2026-04-19
57733438,Газовые,13-54-6,2019-03-17,2018-04-04,2022-11-24,2018-04-04
57733446,Газовые,13-54-6,2020-08-16,2020-04-07,2022-08-16,2026-04-07
57733479,Газовые,13-54-6,2019-02-07,2019-06-15,2022-06-23,2022-09-30
57733487,Газовые,13-54-6,2020-12-03,2018-04-04,2022-12-03,2018-04-04
57733503,Газовые,13-54-6,2020-04-27,2019-12-03,2022-12-12,2021-11-10
57733560,Газовые,13-54-6,2020-05-01,2018-04-04,2022-11-20,2018-04-04
57733602,Газовые,13-54-6,2020-09-14,2020-02-12,2022-10-14,2026-02-12
57733768,Газовые,13-54-6,2019-12-22,2020-03-08,2022-11-28,2026-03-08
57736647,Газовые,13-54-6,2020-05-19,2018-04-10,2022-11-22,2018-04-10
57736654,Газовые,13-54-6,2020-06-23,2020-03-03,2023-03-13,2026-03-03
57736944,Газовые,13-54-6,2019-03-03,2018-04-07,2022-09-28,2018-04-07
57736969,Газовые,13-54-6,2018-11-23,2018-04-07,2022-08-10,2018-04-07
57737041,Газовые,13-54-6,2019-03-15,2018-04-10,2022-12-19,2018-04-10
57737058,Газовые,13-54-6,2020-12-20,2018-04-09,2022-12-20,2018-04-09
57737124,Газовые,13-54-6,2019-08-30,2018-04-09,2022-11-11,2018-04-09
57737173,Газовые,13-54-6,2020-02-26,2020-04-13,2022-06-05,2026-04-13
57737181,Газовые,13-54-6,2019-08-13,2020-04-05,2022-11-22,2026-04-05
57737207,Газовые,13-54-6,2020-06-13,2018-04-10,2022-11-22,2018-04-10
57773848,Газовые,13-54-6,2022-05-21,2019-04-23,2019-06-23,2020-05-28
57737215,Газовые,13-54-6,2020-11-01,2020-03-22,2022-11-01,2026-03-22
57737504,Газовые,13-54-6,2020-11-25,2020-04-13,2022-11-25,2026-04-13
57737611,Газовые,13-54-6,2019-12-09,2020-04-24,2022-12-24,2026-04-24
57737629,Газовые,13-54-6,2021-04-01,2020-03-25,2023-04-01,2026-03-25
57737637,Газовые,13-54-6,2019-09-30,2018-04-10,2022-11-24,2018-04-10
57737645,Газовые,13-54-6,2019-10-26,2020-04-19,2022-11-02,2026-04-19
57737652,Газовые,13-54-6,2020-03-07,2020-03-27,2022-12-02,2026-03-27
57737660,Газовые,13-54-6,2021-01-25,2018-04-10,2023-01-25,2018-04-10
57737678,Газовые,13-54-6,2019-08-19,2020-04-21,2022-12-12,2026-04-21
57737686,Газовые,13-54-6,2019-07-07,2018-04-10,2022-12-16,2018-04-10
57737702,Газовые,13-54-6,2020-04-03,2020-04-03,2019-09-20,2026-04-03
57737736,Газовые,13-54-6,2020-09-11,2020-04-21,2023-01-29,2026-04-21
57737744,Газовые,13-54-6,2019-01-07,2018-04-10,2022-08-02,2018-04-10
57737751,Газовые,13-54-6,2020-12-03,2018-04-10,2022-12-03,2018-04-10
57737850,Газовые,13-54-6,2019-01-24,2018-04-10,2022-08-29,2018-04-10
57737876,Газовые,13-54-6,2018-12-26,2018-04-11,2022-09-30,2018-04-11
57737926,Газовые,13-54-6,2019-06-05,2018-04-11,2022-10-12,2018-04-11
57737934,Газовые,13-54-6,2018-10-13,2018-04-11,2022-06-25,2018-04-11
57737942,Газовые,13-54-6,2019-06-18,2018-04-11,2022-10-06,2018-04-11
57737967,Газовые,13-54-6,2019-04-22,2018-04-11,2022-06-13,2018-04-11
57737975,Газовые,13-54-6,2019-08-18,2020-04-16,2022-11-23,2026-04-16
57738007,Газовые,13-54-6,2020-04-09,2018-04-12,2018-07-28,2018-04-12
57738056,Газовые,13-54-6,2019-12-21,2020-04-17,2022-08-28,2026-04-17
57738072,Газовые,13-54-6,2020-05-24,2020-04-16,2022-12-12,2026-04-16
57738080,Газовые,13-54-6,2020-02-15,2020-01-30,2023-02-13,2026-01-30
57738106,Газовые,13-54-6,2020-10-01,2018-04-12,2022-12-02,2018-04-12
57738122,Газовые,13-54-6,2020-04-09,2020-03-28,2018-11-10,2026-03-28
57841173,Газовые,11-1406,2019-08-07,2018-07-26,2021-08-07,2022-07-25
57738130,Газовые,13-54-6,2019-01-15,2018-04-12,2022-10-07,2018-04-12
57738155,Газовые,13-54-6,2019-02-04,2020-01-30,2022-07-13,2026-01-31
57738171,Газовые,13-54-6,2020-06-07,2020-03-30,2022-06-07,2026-03-30
57738205,Газовые,13-54-6,2018-11-11,2018-04-19,2022-08-26,2018-04-19
57738221,Газовые,13-54-6,2020-12-08,2020-04-27,2022-12-08,2026-04-27
57738247,Газовые,13-54-6,2020-04-09,2018-04-14,2018-05-16,2018-04-14
57738254,Газовые,13-54-6,2020-07-29,2020-03-21,2022-07-29,2026-03-21
57738379,Газовые,13-54-6,2018-12-01,2020-04-01,2022-06-29,2026-04-01
57738387,Газовые,13-54-6,2020-11-15,2020-03-09,2022-11-15,2026-03-09
57738403,Газовые,13-54-6,2020-04-09,2018-04-14,2019-03-01,2018-04-14
57738411,Газовые,13-54-6,2019-04-08,2020-01-08,2023-01-24,2026-01-08
57738429,Газовые,13-54-6,2019-02-21,2020-04-27,2022-05-10,2026-04-27
57738437,Газовые,13-54-6,2020-04-26,2020-04-05,2022-12-29,2026-04-05
57751232,Газовые,11-160-9,2027-12-26,2019-11-06,2020-12-26,2025-11-06
57751240,Газовые,11-160-9,2019-10-17,2020-04-17,2022-06-19,2026-04-17
57751257,Газовые,11-160-9,2020-03-15,2020-04-03,2019-11-28,2026-04-03
57751265,Газовые,11-160-9,2019-06-03,2018-03-12,2022-08-21,2018-03-12
57751273,Газовые,11-160-9,2020-03-16,2020-04-25,2018-05-08,2026-04-25
57751281,Газовые,11-160-9,2019-01-06,2018-03-15,2022-10-12,2018-03-15
57751307,Газовые,11-160-9,2020-03-17,2020-03-28,2019-01-04,2026-03-28
57751315,Газовые,11-160-9,2019-07-05,2020-04-09,2022-07-27,2026-04-09
57751323,Газовые,11-160-9,2018-06-08,2018-03-16,2022-03-27,2018-03-16
57751331,Газовые,11-160-9,2020-03-19,2020-04-27,2018-05-11,2026-04-27
57751349,Газовые,11-160-9,2020-03-23,2018-03-15,2020-03-15,2018-03-15
57751356,Газовые,11-160-9,2020-10-18,2018-03-16,2022-10-18,2018-03-16
57751364,Газовые,11-160-9,2019-04-29,2020-04-20,2022-10-28,2026-04-20
57751372,Газовые,11-160-9,2020-03-26,2018-03-17,2018-05-25,2018-03-17
57751380,Газовые,11-160-9,2020-03-26,2018-03-16,2018-07-04,2018-03-16
57751406,Газовые,11-160-9,2020-03-27,2020-02-08,2023-03-15,2026-02-08
57751414,Газовые,11-160-9,2018-10-16,2018-03-16,2022-06-25,2018-03-16
57751422,Газовые,11-160-9,2020-03-19,2020-03-30,2019-06-10,2026-03-30
57751430,Газовые,11-160-9,2020-07-15,2018-03-17,2022-12-13,2018-03-17
57751448,Газовые,11-160-9,2020-08-23,2018-03-18,2022-12-26,2018-03-18
57751455,Газовые,11-160-9,2020-03-20,2020-03-10,2019-02-27,2026-03-10
57751463,Газовые,11-160-9,2019-06-23,2020-04-06,2022-07-30,2026-04-07
57751471,Газовые,11-160-9,2020-03-20,2020-04-19,2018-05-11,2026-04-19
57751489,Газовые,11-160-9,2019-09-14,2020-03-28,2022-06-29,2026-03-28
57751505,Газовые,11-160-9,2020-10-27,2020-04-09,2022-10-27,2026-04-09
57751513,Газовые,11-160-9,2020-03-22,2018-03-17,2018-05-03,2018-03-17
57751521,Газовые,11-160-9,2019-05-22,2020-04-15,2022-06-06,2026-04-15
57751539,Газовые,11-160-9,2020-06-22,2020-04-09,2022-06-22,2026-04-09
57751547,Газовые,11-160-9,2018-11-18,2018-03-19,2022-05-07,2018-03-19
57751554,Газовые,11-160-9,2020-03-23,2018-03-20,2018-10-18,2018-03-20
57751562,Газовые,11-160-9,2020-03-23,2018-03-22,2018-05-10,2018-03-22
57751570,Газовые,11-160-9,2019-05-27,2020-03-23,2022-08-01,2026-03-23
57751588,Газовые,11-160-9,2020-02-23,2018-03-22,2022-08-04,2018-03-22
57751604,Газовые,11-160-9,2020-03-25,2018-03-22,2018-05-25,2018-03-22
57751661,Газовые,11-160-9,2019-12-27,2020-03-12,2022-12-06,2026-03-12
57751679,Газовые,11-160-9,2020-01-10,2018-03-22,2023-03-29,2018-03-22
57751810,Газовые,11-160-9,2018-11-30,2018-03-24,2022-06-08,2018-03-24
57751877,Газовые,11-160-9,2020-09-07,2018-03-23,2022-09-29,2018-03-23
57751976,Газовые,11-160-9,2020-03-25,2018-03-24,2019-11-02,2018-03-24
57751984,Газовые,11-160-9,2020-03-26,2018-03-24,2018-07-26,2018-03-24
57752008,Газовые,11-160-9,2018-12-15,2018-03-24,2022-10-14,2018-03-24
57752016,Газовые,11-160-9,2020-03-26,2020-04-15,2018-11-11,2026-04-15
57752024,Газовые,11-160-9,2020-03-26,2018-03-24,2018-05-29,2018-03-24
57752032,Газовые,11-160-9,2019-09-04,2020-03-22,2022-07-05,2026-03-22
57752040,Газовые,11-160-9,2019-05-01,2020-03-28,2022-09-24,2026-03-28
57752057,Газовые,11-160-9,2019-07-08,2020-04-03,2022-10-28,2026-04-03
57752065,Газовые,11-160-9,2019-08-22,2020-02-09,2022-10-18,2026-02-09
57752073,Газовые,11-160-9,2019-07-15,2020-04-04,2022-09-27,2026-04-04
57752081,Газовые,11-160-9,2018-10-09,2018-03-26,2022-05-16,2018-03-26
57752107,Газовые,11-160-9,2019-09-25,2018-03-26,2022-11-03,2018-03-26
57755936,Газовые,11-160-9,2019-10-22,2020-04-12,2022-06-12,2026-04-12
57755944,Газовые,11-160-9,2020-07-27,2020-03-24,2022-09-07,2026-03-24
57755951,Газовые,11-160-9,2019-05-31,2020-03-28,2022-08-10,2026-03-28
57755969,Газовые,11-160-9,2020-01-22,2018-03-23,2022-05-11,2018-03-23
57755977,Газовые,11-160-9,2019-01-05,2020-03-18,2022-08-10,2026-03-18
57755985,Газовые,11-160-9,2019-03-14,2020-03-28,2022-08-29,2026-03-28
57756009,Газовые,11-160-9,2020-03-29,2018-03-26,2018-06-01,2018-03-26
57756017,Газовые,11-160-9,2019-06-06,2020-04-27,2022-04-08,2026-04-27
57756025,Газовые,11-160-9,2020-04-02,2018-03-26,2022-10-19,2018-03-26
57756033,Газовые,11-160-9,2020-03-30,2018-03-26,2018-06-25,2018-03-26
57756041,Газовые,11-160-9,2019-06-18,2020-03-28,2022-09-18,2026-03-28
57756058,Газовые,11-160-9,2020-03-30,2017-09-27,2019-03-25,2018-03-27
57756066,Газовые,11-160-9,2019-12-18,2020-03-28,2022-11-03,2026-03-28
57756074,Газовые,11-160-9,2018-09-18,2020-03-11,2022-05-19,2026-03-11
57756082,Газовые,11-160-9,2019-02-08,2018-03-27,2022-11-12,2018-03-27
57756108,Газовые,11-160-9,2019-10-07,2018-03-27,2022-11-11,2018-03-27
57756116,Газовые,11-160-9,2020-12-01,2018-03-29,2022-12-01,2018-03-29
57756124,Газовые,11-160-9,2020-12-24,2018-03-29,2022-12-31,2018-03-29
57756132,Газовые,11-160-9,2020-02-20,2020-03-30,2022-11-25,2026-03-30
57756140,Газовые,11-160-9,2019-12-08,2020-03-14,2022-10-09,2026-03-14
57756157,Газовые,11-160-9,2020-06-18,2020-01-28,2023-02-08,2026-01-28
57756165,Газовые,11-160-9,2020-07-05,2020-04-29,2022-11-18,2026-04-29
57756173,Газовые,11-160-9,2020-08-31,2020-03-20,2022-08-31,2026-03-20
57756181,Газовые,11-160-9,2020-06-25,2020-04-17,2022-12-13,2026-04-17
57756207,Газовые,11-160-9,2020-02-09,2020-01-26,2023-02-04,2026-01-26
57756215,Газовые,11-160-9,2020-12-25,2020-03-07,2022-12-25,2026-03-07
57756223,Газовые,11-160-9,2019-01-26,2018-04-01,2022-11-21,2018-04-01
57756231,Газовые,11-160-9,2019-06-18,2020-04-13,2022-10-31,2026-04-13
57756249,Газовые,11-160-9,2020-11-26,2018-04-30,2022-12-21,2018-04-30
57756256,Газовые,11-160-9,2020-06-17,2018-04-01,2022-12-04,2018-04-01
57756264,Газовые,11-160-9,2018-11-29,2018-04-02,2022-04-16,2018-04-02
57756272,Газовые,11-160-9,2020-11-01,2020-04-12,2022-11-01,2026-04-12
57756280,Газовые,11-160-9,2021-03-25,2020-03-15,2023-03-25,2026-03-15
57756306,Газовые,11-160-9,2019-10-15,2018-04-01,2022-11-21,2018-04-01
57756314,Газовые,11-160-9,2019-10-24,2018-04-02,2022-12-10,2018-04-02
57756322,Газовые,11-160-9,2018-10-16,2020-04-25,2022-06-26,2026-04-25
58179227,Газовые,14-94-1,2019-03-16,2018-05-27,2021-06-06,2024-05-27
57756330,Газовые,11-160-9,2019-03-27,2018-04-05,2022-09-06,2018-04-05
57756348,Газовые,11-160-9,2020-02-26,2020-03-30,2022-08-19,2026-03-30
57756355,Газовые,11-160-9,2019-10-14,2020-02-09,2023-02-23,2026-02-09
57756363,Газовые,11-160-9,2020-01-04,2020-04-16,2022-08-28,2026-04-16
57756371,Газовые,11-160-9,2020-09-21,2018-04-03,2023-01-11,2018-04-03
57756389,Газовые,11-160-9,2020-04-08,2020-02-03,2018-12-16,2026-02-03
57756405,Газовые,11-160-9,2019-03-04,2020-04-19,2022-06-26,2026-04-19
57756413,Газовые,11-160-9,2019-08-18,2018-04-02,2022-08-31,2018-04-02
57756421,Газовые,11-160-9,2019-04-26,2020-04-03,2022-09-03,2026-04-03
57756439,Газовые,11-160-9,2019-04-23,2020-04-13,2022-06-08,2026-04-13
57756447,Газовые,11-160-9,2020-06-23,2020-04-03,2022-06-23,2026-04-03
57756454,Газовые,11-160-9,2020-01-31,2018-04-06,2022-11-03,2018-04-06
57756462,Газовые,11-160-9,2019-11-12,2020-04-12,2022-12-04,2026-04-12
57756470,Газовые,11-160-9,2020-05-29,2020-03-12,2022-05-29,2026-03-13
57756488,Газовые,11-160-9,2020-04-09,2020-04-17,2019-05-23,2026-04-17
57756504,Газовые,11-160-9,2020-04-09,2020-04-05,2018-12-17,2026-04-05
57756512,Газовые,11-160-9,2020-12-22,2018-04-07,2022-12-22,2018-04-07
57756520,Газовые,11-160-9,2020-04-12,2020-04-03,2019-04-12,2026-04-03
50773357,Нефтебензиновые,18-115-2,2020-09-01,NULL,2020-03-08,NULL
57756538,Газовые,11-160-9,2019-11-18,2020-04-19,2023-05-02,2026-04-19
57756546,Газовые,11-160-9,2021-01-30,2018-04-09,2023-01-30,2018-04-09
57756553,Газовые,11-160-9,2020-04-22,2020-03-14,2018-09-10,2026-03-14
57756561,Газовые,11-160-9,2020-11-11,2020-03-24,2022-11-11,2026-03-24
57756579,Газовые,11-160-9,2021-02-28,2020-02-09,2023-02-28,2026-02-09
57756587,Газовые,11-160-9,2019-11-14,2018-04-10,2022-11-26,2018-04-10
57756603,Газовые,11-160-9,2019-09-01,2020-04-05,2022-08-31,2026-04-05
57756611,Газовые,11-160-9,2020-12-15,2020-04-15,2022-12-30,2026-04-15
57756629,Газовые,11-160-9,2020-11-16,2018-04-10,2022-12-03,2018-04-10
57756637,Газовые,11-160-9,2019-02-28,2020-03-28,2022-09-22,2026-03-28
57756645,Газовые,11-160-9,2018-11-24,2020-02-29,2022-06-30,2026-02-28
57756652,Газовые,11-160-9,2020-11-08,2020-02-15,2022-11-08,2026-02-15
57756660,Газовые,11-160-9,2019-11-21,2018-04-22,2023-01-14,2018-04-22
57756678,Газовые,11-160-9,2018-09-19,2018-04-18,2022-07-04,2018-04-18
57756686,Газовые,11-160-9,2020-04-15,2018-04-11,2019-01-05,2018-04-11
57756702,Газовые,11-160-9,2020-09-05,2018-04-14,2023-01-09,2018-04-14
57756710,Газовые,11-160-9,2019-06-18,2020-04-05,2022-10-25,2026-04-05
57756728,Газовые,11-160-9,2018-12-24,2018-04-15,2022-11-11,2018-04-15
57756736,Газовые,11-160-9,2019-01-24,2018-04-17,2022-08-28,2018-04-17
58177486,Газовые,14-94-1,2027-11-29,2019-11-13,2019-11-29,2023-11-12
58177494,Газовые,14-94-1,2019-01-09,2019-04-23,2021-11-01,2024-10-14
58177502,Газовые,14-94-1,2018-09-18,2018-05-12,2021-06-06,2024-05-13
58177510,Газовые,14-94-1,2027-07-27,2018-05-22,2019-07-20,2024-05-22
58177528,Газовые,14-94-1,2019-04-28,2019-03-08,2021-09-16,2024-11-09
58177536,Газовые,14-94-1,2027-12-02,2019-11-22,2019-12-02,2023-12-02
58177544,Газовые,14-94-1,2027-07-27,2018-11-25,2019-05-27,2024-03-26
58177551,Газовые,14-94-1,2027-01-25,2019-09-20,2018-08-16,2023-12-22
58177569,Газовые,14-94-1,2018-06-01,2019-08-23,2021-10-18,2022-01-30
58177577,Газовые,14-94-1,2028-02-02,2019-12-31,2020-02-02,2022-01-21
58177585,Газовые,14-94-1,2027-04-11,2020-02-19,2018-09-03,2022-02-25
58177593,Газовые,14-94-1,2027-12-05,2019-11-27,2019-12-05,2023-11-24
58177601,Газовые,14-94-1,2027-03-24,2019-03-10,2018-06-14,2022-02-26
58177619,Газовые,14-94-1,2027-12-08,2019-11-28,2019-10-09,2024-01-07
58177627,Газовые,14-94-1,2028-04-05,2020-03-29,2020-01-07,2024-04-14
58177676,Газовые,14-94-1,2019-06-26,2018-09-01,2021-09-17,2024-09-01
58177783,Газовые,14-94-1,2027-12-26,2019-12-20,2019-11-11,2023-12-03
58177684,Газовые,14-94-1,2019-01-29,2018-07-19,2021-09-09,2024-07-15
